"PointID","x","y","Pressure","Velocity_x","Velocity_y","Enthalpy","Turb_Kin_Energy","Omega","Species_0","Species_1"
71, 4.500000000000000e-02, 1.434628787721634e-02, 2.628947127955046e+00, 9.187910778454661e-02, -9.580565932123673e-03, 3.014109000000000e+05, 4.708427078064275e-05, 3.282510930397460e+03, 5.272220218044471e-01, 3.606716118085581e-01
72, 4.500000000000000e-02, 1.419127073690665e-02, 2.629044807730981e+00, 1.322086854532278e-01, -1.441510095229097e-02, 3.014109000000000e+05, 9.709467369523769e-05, 2.341459770142581e+03, 5.257895756864484e-01, 3.682226754945240e-01
73, 4.500000000000000e-02, 1.401902946602282e-02, 2.629144122334429e+00, 1.840032077983183e-01, -2.109542183589772e-02, 3.014109000000000e+05, 1.878955951770047e-04, 1.831191042154019e+03, 5.242774510041389e-01, 3.762650246728287e-01
74, 4.500000000000000e-02, 1.382765027126710e-02, 2.629216008763009e+00, 2.489309942320102e-01, -3.007003224759224e-02, 3.014109000000000e+05, 3.412276319555292e-04, 1.551858165966232e+03, 5.226789412716611e-01, 3.848442698595712e-01
75, 4.500000000000000e-02, 1.361500672009480e-02, 2.629171129173291e+00, 3.279852799010734e-01, -4.172313815623829e-02, 3.014109000000000e+05, 5.756970981142920e-04, 1.394492559999485e+03, 5.209925573806833e-01, 3.939651853051295e-01
76, 4.500000000000000e-02, 1.337873611021916e-02, 2.628817936044398e+00, 4.208733924616146e-01, -5.625082755003560e-02, 3.014109000000000e+05, 8.906527414240960e-04, 1.288250683924883e+03, 5.192219282233942e-01, 4.035813139925898e-01
77, 4.500000000000000e-02, 1.311621321835302e-02, 2.627845636578581e+00, 5.254952566147041e-01, -7.352042087071350e-02, 3.014109000000000e+05, 1.251557928735516e-03, 1.184454494725726e+03, 5.173758923952347e-01, 4.135850014518005e-01
78, 4.500000000000000e-02, 1.282452111825317e-02, 2.625775498057120e+00, 6.372904304720571e-01, -9.293150368831538e-02, 3.014109000000000e+05, 1.624132347213996e-03, 1.053828908862281e+03, 5.154684759921276e-01, 4.238009061443980e-01
79, 4.500000000000000e-02, 1.250041877555430e-02, 2.621980574632299e+00, 7.489748335517525e-01, -1.133293950373956e-01, 3.014109000000000e+05, 1.964663205641446e-03, 8.879685816575178e+02, 5.135201325292282e-01, 4.339912765774058e-01
80, 4.500000000000000e-02, 1.214030506672970e-02, 2.615764790966933e+00, 8.515996537033179e-01, -1.330592726504977e-01, 3.014109000000000e+05, 2.234184443795188e-03, 6.991866363781936e+02, 5.115607170871955e-01, 4.438819210591277e-01
81, 4.500000000000000e-02, 1.174017873062197e-02, 2.606692754676231e+00, 9.371183258250096e-01, -1.502796672729393e-01, 3.014109000000000e+05, 2.422092188191862e-03, 5.124806215662987e+02, 5.096363143388195e-01, 4.532083211419000e-01
82, 4.500000000000000e-02, 1.129559391598305e-02, 2.594800899017287e+00, 1.001285653621658e+00, -1.635006977835109e-01, 3.014109000000001e+05, 2.580004294528408e-03, 3.517470176897586e+02, 5.078119037630070e-01, 4.617620391976485e-01
