"PointID","x","y","z","Pressure","Velocity_x","Velocity_y","Velocity_z","Turb_Kin_Energy","Omega"
82, -3.380442061904142e-02, 3.380442061904142e-02, 0.000000000000000e+00, 5.603641742662092e+01, 4.737805044242430e-01, 3.136096754501498e-01, 5.937761993873715e+00, 1.292750125321775e+00, 1.517539184565151e+03
83, -3.443725127175858e-02, 3.443725127175858e-02, 0.000000000000000e+00, 5.608386722978182e+01, 4.666575378416929e-01, 3.362996669203918e-01, 5.457208133974554e+00, 1.301945493753469e+00, 1.881808027188375e+03
84, -3.500679885891964e-02, 3.500679885891964e-02, 0.000000000000000e+00, 5.611811906649186e+01, 4.561911001718264e-01, 3.544778359723351e-01, 4.926339373721803e+00, 1.291006524021959e+00, 2.418267460909330e+03
85, -3.551939168751238e-02, 3.551939168751238e-02, 0.000000000000000e+00, 5.614304342020112e+01, 4.381252751084301e-01, 3.633394038018529e-01, 4.314961495772584e+00, 1.250872220508098e+00, 3.314723999283969e+03
86, -3.598072523239837e-02, 3.598072523239837e-02, 0.000000000000000e+00, 5.615085113295000e+01, 4.018723950409017e-01, 3.515075085027632e-01, 3.550241783570253e+00, 1.165725158193874e+00, 5.174836899027599e+03
87, -3.639592542364795e-02, 3.639592542364795e-02, 0.000000000000000e+00, 5.619078855115875e+01, 3.124772626613921e-01, 2.879773439748173e-01, 2.419957561320097e+00, 9.797109720844880e-01, 1.070810848771717e+04
88, 3.464513949866670e-02, 3.268409386666501e-03, 0.000000000000000e+00, 3.974320269061838e+01, 5.790064958459339e-01, -3.124939395854008e-02, 1.069571729807978e+01, 6.891771545133469e-01, 3.178284777170019e+02
89, 3.399145762133336e-02, 6.536818773333199e-03, 0.000000000000000e+00, 3.996782301968776e+01, 5.871637006959672e-01, -6.123463258423055e-02, 1.070061176617770e+01, 6.772942351416643e-01, 3.122149102261620e+02
90, 3.333777574400002e-02, 9.805228159999898e-03, 0.000000000000000e+00, 4.021591902702433e+01, 5.943345238077116e-01, -9.050521713558191e-02, 1.067207311237366e+01, 6.774823736220992e-01, 3.135006738274511e+02
91, 3.268409386666668e-02, 1.307363754666660e-02, 0.000000000000000e+00, 4.048634348298430e+01, 6.006846105396888e-01, -1.196454479845541e-01, 1.060987902370262e+01, 6.890391654640794e-01, 3.219889549130149e+02
92, 3.203041198933334e-02, 1.634204693333329e-02, 0.000000000000000e+00, 4.077897769183115e+01, 6.066067198389105e-01, -1.493808330203870e-01, 1.051117383836248e+01, 7.124158140923749e-01, 3.397838807328820e+02
93, 3.137673011200001e-02, 1.961045631999997e-02, 0.000000000000000e+00, 4.109361979704971e+01, 6.126706910610294e-01, -1.804283722813072e-01, 1.036850672820989e+01, 7.496627486669269e-01, 3.702311080507863e+02
94, 3.072304823466667e-02, 2.287886570666664e-02, 0.000000000000000e+00, 4.143177850185680e+01, 6.190078358664950e-01, -2.132707467268181e-01, 1.016709005785936e+01, 8.048904098847973e-01, 4.169897119295797e+02
95, 3.006936635733334e-02, 2.614727509333332e-02, 0.000000000000000e+00, 4.179864372853052e+01, 6.253605907724187e-01, -2.475767926296251e-01, 9.884172303013285e+00, 8.817718358721938e-01, 4.825230965942927e+02
